Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Leukocyte transendothelial migration	1/114	2.136328e-01	3.357087e-01	0	0	4.283402e+00	6.611415e+00	MYL9
KEGG_2021_Human	Glutamatergic synapse	1/114	2.136328e-01	3.357087e-01	0	0	4.283402e+00	6.611415e+00	GNG11
KEGG_2021_Human	Purine metabolism	1/129	2.381889e-01	3.509618e-01	0	0	3.778582e+00	5.421099e+00	GMPR
KEGG_2021_Human	Relaxin signaling pathway	1/129	2.381889e-01	3.509618e-01	0	0	3.778582e+00	5.421099e+00	GNG11
KEGG_2021_Human	Dopaminergic synapse	1/132	2.430095e-01	3.509618e-01	0	0	3.691491e+00	5.222185e+00	GNG11
KEGG_2021_Human	Vascular smooth muscle contraction	1/133	2.446098e-01	3.509618e-01	0	0	3.663341e+00	5.158318e+00	MYL9
KEGG_2021_Human	Insulin signaling pathway	1/137	2.509778e-01	3.524369e-01	0	0	3.554878e+00	4.914231e+00	PRKAR2B
KEGG_2021_Human	Retrograde endocannabinoid signaling	1/148	2.682208e-01	3.640179e-01	0	0	3.287042e+00	4.325566e+00	GNG11
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	1/150	2.713139e-01	3.640179e-01	0	0	3.242593e+00	4.229893e+00	MYL4
KEGG_2021_Human	Oxytocin signaling pathway	1/154	2.774621e-01	3.640179e-01	0	0	3.157182e+00	4.047731e+00	MYL9
KEGG_2021_Human	Herpes simplex virus 1 infection	2/498	2.812865e-01	3.640179e-01	0	0	1.961895e+00	2.488431e+00	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	cGMP-PKG signaling pathway	1/167	2.970958e-01	3.736718e-01	0	0	2.908022e+00	3.529469e+00	MYL9
KEGG_2021_Human	Tight junction	1/169	3.000698e-01	3.736718e-01	0	0	2.873113e+00	3.458481e+00	MYL9
KEGG_2021_Human	Axon guidance	1/182	3.191034e-01	3.898290e-01	0	0	2.665005e+00	3.044076e+00	MYL9
KEGG_2021_Human	Alcoholism	1/186	3.248575e-01	3.898290e-01	0	0	2.606856e+00	2.931067e+00	GNG11
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	1/193	3.348133e-01	3.946014e-01	0	0	2.510925e+00	2.747409e+00	GNG11
KEGG_2021_Human	Focal adhesion	1/201	3.460159e-01	4.006499e-01	0	0	2.409512e+00	2.557145e+00	MYL9
KEGG_2021_Human	Human immunodeficiency virus 1 infection	1/212	3.611192e-01	4.061346e-01	0	0	2.282626e+00	2.324963e+00	GNG11
KEGG_2021_Human	cAMP signaling pathway	1/216	3.665264e-01	4.061346e-01	0	0	2.239705e+00	2.247958e+00	MYL9
KEGG_2021_Human	Regulation of actin cytoskeleton	1/218	3.692133e-01	4.061346e-01	0	0	2.218838e+00	2.210807e+00	MYL9
KEGG_2021_Human	Human cytomegalovirus infection	1/225	3.785299e-01	4.095570e-01	0	0	2.148737e+00	2.087412e+00	GNG11
KEGG_2021_Human	Ras signaling pathway	1/232	3.877122e-01	4.127259e-01	0	0	2.082885e+00	1.973517e+00	GNG11
KEGG_2021_Human	Shigellosis	1/246	4.056811e-01	4.222598e-01	0	0	1.962469e+00	1.770516e+00	MYL9
KEGG_2021_Human	Salmonella infection	1/249	4.094641e-01	4.222598e-01	0	0	1.938434e+00	1.730840e+00	MYL9
KEGG_2021_Human	PI3K-Akt signaling pathway	1/354	5.280268e-01	5.361503e-01	0	0	1.354591e+00	8.650532e-01	GNG11
KEGG_2021_Human	Pathways in cancer	1/531	6.774004e-01	6.774004e-01	0	0	8.940635e-01	3.482313e-01	GNG11
