Gene Symbol
RPS4Y1
SNORD33
IGKV6-21
PMAIP1
RSL24D1
CCDC167
SNORD64
SNORD116-15
CD69
TMEM256
PSMC6
CENPK
SNRPG
SNORD57
SYNJ2BP-COX16
RNVU1-2
RCN2
CMTM5
CCDC82
RPL34P34
CMC2
COPS2
RNA5SP403
BEX2
EVI2A
SNORD81
PYROXD1
LOC101927806
POLR2K
SNORD116-19
SNORA8
KIAA1586
SNORA24
BCL2A1
RGS18
RHD
RPS7
PSMG3
C14orf2
PSMA6
SNORA73A
GNG11
TXLNGY
PTTG1
ZNF141
CAPZA2
CRLS1
RPL31
RNU6-736P
LIPN
COX6C
TPT1P9
RCL1
NDUFA4
LGALS2
ZNF701
CXCL8
FAM185A
ZDHHC3
ANKRD49
RPS18P12
REXO1L1P
KLHL9
SNORD50B
IL11RA
IFIT5
RNU1-89P
RNF139
CCNC
GZMK
FLJ45832
TMCO1
CCDC144A
OR7E162P
COG6
TMEM261
SUCLG2
UFM1
PSMA4
RPS17
SFT2D1
PIGY
KLRF1
ZNF267
CD163
SAR1B
MYEOV2
NDUFA6
TAF11
IFI44
SNORA28
RNA5SP192
MRPS14
ZNF654
RSAD1
TAF7
OCIAD2
TUBB2A
PPIL3
RNA5SP493
CLEC2B
ARL5B
EEF1B2P3
GSAP
SNORA80A
RBX1
DUX4
SEPT5-GP1BB
CHMP5
RPS3AP25
COX7C
ASNSD1
TMA7
SNORA5A
FAM96A
PFDN5
ADH5
COMMD6
RNA5SP399
CLEC1B
MYL9
VRK1
RNA5SP187
COX14
RN7SL756P
PRDX4
RPL9
LOC646358
MYNN
SNORD76
RPS3A
KRTAP10-1
C11orf31
ZNF451
MPC1
LIN7C
ABHD17A
HIGD1A
TMEM110-MUSTN1
C1GALT1
ITM2A
MRPS21
PTRHD1
CD1C
RPL17
RBP7
PDCD5
NAT8B
PRKAR2B
RECQL
UQCRQ
RPL7
LPAR6
VBP1
RPAIN
SRSF6
RNY4P18
TPT1-AS1
MFSD8
CMTR1
C6orf48
P2RX4
RPS15AP11
TMEM138
SNORD116-2
ABCD3
GUCY1B3
CSNK1G3
SNORD46
HSPA6
GTF3C3
GPALPP1
PLEKHF2
RNVU1-18
PMS2P3
FAM3A
EPM2AIP1
LINC01089
OXLD1
SCARNA13
CCDC28A
RN7SKP80
MIR15A
PSMA2
HIST2H3A
CLK1
MRPS7
ZNF12
ZNF484
CMAS
ZNF780B
TPT1
RNU6-589P
RPL39
CDC37L1
SNORA7B
CBWD1
SLC33A1
OSTC
RPL35P1
