probe_id,gene_name,hgnc_symbol,correlation,p_value,abs_corr,gene_assignment
8138789,NM_175061,JAZF1,0.5131466561686775,2.4912828848278127e-12,0.5131466561686775,NM_175061 // JAZF1 // JAZF zinc finger 1 // 7p15.2-p15.1 // 221895 /// ENST00000283928 // JAZF1 // JAZF zinc finger 1 // 7p15.2-p15.1 // 221895 /// ENST00000427814 // JAZF1 // JAZF zinc finger 1 // 7p15.2-p15.1 // 221895 /// ENST00000430432 // JAZF1 // JAZF zinc finger 1 // 7p15.2-p15.1 // 221895 /// ENST00000447620 // JAZF1 // JAZF zinc finger 1 // 7p15.2-p15.1 // 221895 /// ENST00000452993 // JAZF1 // JAZF zinc finger 1 // 7p15.2-p15.1 // 221895 /// ENST00000454041 // JAZF1 // JAZF zinc finger 1 // 7p15.2-p15.1 // 221895 /// AY372319 // JAZF1 // JAZF zinc finger 1 // 7p15.2-p15.1 // 221895 /// BC042441 // JAZF1 // JAZF zinc finger 1 // 7p15.2-p15.1 // 221895
8128683,NM_003795,SNX3,0.5106415517526601,3.3109914359187924e-12,0.5106415517526601,NM_003795 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// NM_152827 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// ENST00000230085 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// ENST00000349379 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// ENST00000368979 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// ENST00000426155 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// AB047360 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// AF034546 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// AF062483 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// AK289476 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// BC008444 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// BC014580 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// BC015179 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// BC016863 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// BT007114 // SNX3 // sorting nexin 3 // 6q21 // 8724 /// CR456898 // SNX3 // sorting nexin 3 // 6q21 // 8724
8007462,NR_003108,NBR2,0.4996380732892155,1.1241292900390426e-11,0.4996380732892155,NR_003108 // NBR2 // neighbor of BRCA1 gene 2 (non-protein coding) // 17q21 // 10230 /// ENST00000356906 // NBR2 // neighbor of BRCA1 gene 2 (non-protein coding) // 17q21 // 10230 /// ENST00000460115 // NBR2 // neighbor of BRCA1 gene 2 (non-protein coding) // 17q21 // 10230 /// BC107773 // NBR2 // neighbor of BRCA1 gene 2 (non-protein coding) // 17q21 // 10230 /// CR936675 // NBR2 // neighbor of BRCA1 gene 2 (non-protein coding) // 17q21 // 10230 /// U88573 // NBR2 // neighbor of BRCA1 gene 2 (non-protein coding) // 17q21 // 10230 /// BC034248 // NBR2 // neighbor of BRCA1 gene 2 (non-protein coding) // 17q21 // 10230 /// ENST00000467245 // NBR2 // neighbor of BRCA1 gene 2 (non-protein coding) // 17q21 // 10230 /// BC022065 // NBR2 // neighbor of BRCA1 gene 2 (non-protein coding) // 17q21 // 10230
8092552,NM_001007225,IGF2BP2,0.4986491621658545,1.2519983035888186e-11,0.4986491621658545,NM_001007225 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// NM_001291869 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// NM_001291872 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// NM_001291873 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// NM_001291874 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// NM_001291875 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// NM_006548 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// XM_006713477 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// ENST00000346192 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// ENST00000382199 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// ENST00000421047 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// ENST00000457616 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// ENST00000494906 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// AF117107 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// AK290664 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// AK296703 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// AK309611 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// BC021290 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// EU408701 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// EU408702 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// EU408703 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644 /// EU408704 // IGF2BP2 // insulin-like growth factor 2 mRNA binding protein 2 // 3q27.2 // 10644
7930398,NM_001008541,MXI1,0.496624259919729,1.5593351166706598e-11,0.496624259919729,"NM_001008541 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// NM_130439 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000332674 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000361248 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000369612 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000393134 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000442296 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000453116 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000460667 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000484030 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000485566 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// AK303949 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// AK307090 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// AK309718 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// BC012907 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// BC016678 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// BC035128 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// D63940 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// NM_005962 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// ENST00000239007 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// BT007069 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601 /// CR536576 // MXI1 // MAX interactor 1, dimerization protein // 10q24-q25 // 4601"
7958262,NM_152772,TCP11L2,0.4960036946016203,1.667368842346412e-11,0.4960036946016203,"NM_152772 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// XM_005268768 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// XM_005268769 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// ENST00000299045 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// ENST00000551802 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// ENST00000553098 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// BC033617 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// NM_001286262 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// ENST00000546625 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// ENST00000547153 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394 /// AF306858 // TCP11L2 // t-complex 11, testis-specific-like 2 // 12q23.3 // 255394"
7953977,,,0.4953824044616779,1.782786577149662e-11,0.4953824044616779,---
7989849,NM_001144823,DENND4A,0.4918749918161013,2.5948046732786068e-11,0.4918749918161013,NM_001144823 // DENND4A // DENN/MADD domain containing 4A // 15q22.31 // 10260 /// NM_005848 // DENND4A // DENN/MADD domain containing 4A // 15q22.31 // 10260 /// ENST00000431932 // DENND4A // DENN/MADD domain containing 4A // 15q22.31 // 10260 /// ENST00000443035 // DENND4A // DENN/MADD domain containing 4A // 15q22.31 // 10260 /// ENST00000564674 // DENND4A // DENN/MADD domain containing 4A // 15q22.31 // 10260 /// ENST00000568515 // DENND4A // DENN/MADD domain containing 4A // 15q22.31 // 10260 /// AF534403 // DENND4A // DENN/MADD domain containing 4A // 15q22.31 // 10260 /// AK299570 // DENND4A // DENN/MADD domain containing 4A // 15q22.31 // 10260 /// BC041706 // DENND4A // DENN/MADD domain containing 4A // 15q22.31 // 10260
8058221,NM_015049,TRAK2,0.4903944144414213,3.0364089681556307e-11,0.4903944144414213,"NM_015049 // TRAK2 // trafficking protein, kinesin binding 2 // 2q33 // 66008 /// ENST00000332624 // TRAK2 // trafficking protein, kinesin binding 2 // 2q33 // 66008 /// ENST00000430254 // TRAK2 // trafficking protein, kinesin binding 2 // 2q33 // 66008 /// AB038951 // TRAK2 // trafficking protein, kinesin binding 2 // 2q33 // 66008 /// AK054763 // TRAK2 // trafficking protein, kinesin binding 2 // 2q33 // 66008 /// BC040668 // TRAK2 // trafficking protein, kinesin binding 2 // 2q33 // 66008 /// BC041330 // TRAK2 // trafficking protein, kinesin binding 2 // 2q33 // 66008 /// BC048093 // TRAK2 // trafficking protein, kinesin binding 2 // 2q33 // 66008"
8018097,NM_001098832,FAM104A,0.4879859261103603,3.914687224593369e-11,0.4879859261103603,"NM_001098832 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// NM_001289410 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// NM_001289411 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// NM_001289412 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// NM_032837 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// ENST00000403627 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// ENST00000405159 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// ENST00000579872 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// ENST00000580032 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// ENST00000581110 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// ENST00000583024 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// AK304556 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// BC011054 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// BC025238 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923 /// ENST00000583178 // FAM104A // family with sequence similarity 104, member A // 17q25.1 // 84923"
