sample_id,7961102,7958000,8151592,8095694,8156706,8063478,8128683,8131067,8138789,8180346,7958262,7930398,8092552,8173135,7989849,8018097,8038877,8058221,7917148,8007462,y
GSM2600155,4.824050256018405,8.175396232625767,6.4725192253374235,5.541719796993865,7.887070886981595,8.251894059674846,7.6845254551042945,6.984583066907976,7.791969897042945,9.859254601957057,8.236102273552147,6.699734074674846,5.499667379613497,9.89825403129448,6.790887989723926,8.007446930361963,8.504230923429448,7.256212698963189,6.724804262846625,6.159180806171779,0
GSM2600156,4.5750655902638035,8.02017609903681,6.633512559257668,5.948282710674846,8.251894059674846,8.43900156690184,7.534759871165644,7.121183196386504,8.03362682309816,10.122430597920244,8.473196303527606,7.019184540564416,5.600124683319018,10.20292048519632,6.775873683392637,7.832126092214724,8.650818741325153,7.224673146760735,6.3516492725766875,6.574350642276073,0
GSM2600157,4.987119499312883,7.972398692766872,6.355375991779141,5.954371782092025,7.491425683687116,7.811426010067484,7.493003234294479,5.970012666429448,7.431594650153373,10.091175993766871,8.406027724760735,6.353491293644171,5.646506002147239,9.382018915012267,6.722531543779141,7.6363877718036814,8.86858398109816,7.27921535314724,6.350384486079754,6.074251533693252,0
GSM2600158,4.782705124159508,7.726697975190183,6.855838632184049,5.597613965214724,8.254923230411043,8.429922393631902,7.570081944257668,7.156843296748467,7.921872048723926,9.978767048650306,8.363724792582822,6.958401792846626,5.665565920233129,10.031630693766871,6.840894614423313,7.920378236521472,8.418036857417178,7.456927106595093,6.472189736809816,6.256958189245399,0
GSM2600159,5.045884214576687,8.103223574570553,7.143110880282209,5.690038943736196,7.793303904877301,8.170679299760737,7.9355259078957054,6.840133436730062,7.835793970153374,10.30025422638037,8.270565976128834,6.745504171196319,5.080279510288344,9.954616155104295,7.103110044141104,7.878680179257669,7.808592507521472,7.452769875711657,7.043577413331287,6.712436168693252,0
GSM2600160,4.584603188822086,7.852127268312884,6.204073491423313,5.215074555631902,7.36793394995092,7.764292699558282,7.393156367619633,6.4787586254662575,7.538236474092026,10.12713957097546,8.161100378337425,6.5618733410858905,5.428387405447853,9.488971384263804,7.136949469263803,7.766954557705521,8.556366297239263,7.154147412079754,7.007777266932515,6.588062139361964,0
GSM2600161,4.958845285668711,8.025910342693251,6.497450620901841,6.100086942558282,8.18663219473006,8.436677997177915,7.435874904239263,6.845749732846627,8.19307882714724,10.132074555325154,8.409240861938649,6.883221662975459,5.8320121852883435,10.236856786319018,7.019634161239264,8.07662654817178,8.215639405552146,7.572896092104295,6.822416473067484,6.609941449122699,0
GSM2600162,4.950679416938651,8.030115618595092,6.671551019337423,5.836732882429447,8.80420415103681,9.003254759687117,7.731212439404908,7.761340455460123,8.367835174558282,10.487289611411043,8.359302334601226,7.096186664546012,6.669076129429448,10.639839122883435,7.169691327865031,8.376556022527607,8.03362682309816,7.8592455290061345,6.90230567303681,6.264482988429448,0
GSM2600163,5.048278256889571,8.340571029165645,7.685800184380368,6.32674397085276,8.786092201687117,8.958803596521472,8.063556503257669,8.412646391723927,8.213708224036811,10.840780154969323,7.98427624980368,7.213105341570552,5.874820671361963,10.639839122883435,7.041367803981595,8.522675043423313,7.896223884331287,7.524720797110429,6.939832248570552,5.902634313269938,0
