gene_id,baseMean,log2FoldChange,mean_sd,mean_ns,pvalue,t_stat,padj
8114083,7.5084062539496985,-0.043914530273768904,7.486448988812814,7.530363519086583,0.20315410230985717,-1.2778198488790569,0.35330787042478945
8088535,7.252996164986607,-0.03391900843774298,7.236036660767736,7.269955669205479,0.20312311431835342,-1.2779059727441393,0.35330787042478945
7905854,6.156062040921002,0.045738374895662126,6.178931228368833,6.133192853473171,0.2032412263552943,1.2780684918641556,0.3533871364223494
7963046,9.910487222959812,0.03259456693526808,9.926784506427447,9.894189939492179,0.20348347229261712,1.27690905302882,0.35373603419599453
8072170,5.746576156037248,0.08736821582201149,5.790260263948254,5.702892048126243,0.20355503342972514,1.2769155874240983,0.3537881312532166
7950544,6.269124227950391,0.08498700508854728,6.311617730494665,6.2266307254061175,0.20430989658256934,1.2745877908625427,0.3550275751442972
7955729,6.044401889345202,-0.04715807287271723,6.020822852908843,6.06798092578156,0.20459299610387724,-1.2737860216381918,0.35530176089415677
7907486,5.841248489544059,0.04524379028037728,5.8638703846842475,5.81862659440387,0.20458723274749727,1.2737938189007512,0.35530176089415677
8157939,8.587013133155722,0.0738576253606027,8.623941945836023,8.55008432047542,0.2045800237528341,1.274294674559751,0.35530176089415677
8004485,5.844820939783583,-0.0367926584686078,5.826424610549279,5.863217269017887,0.20521756311861483,-1.2721485462843507,0.35631365419206734
8165438,7.194268644236263,0.04205902976553588,7.215298159119031,7.173239129353495,0.20529874085251806,1.272399575365244,0.3563818550390854
7901073,6.3338572613209045,0.04992636637619352,6.358820444509002,6.308894078132808,0.2055605372655243,1.271304973506812,0.356540742540767
8018189,5.977675093209836,0.05770760580652201,6.006528896113097,5.948821290306575,0.20556368105726605,1.2710015959335044,0.356540742540767
8081135,7.87905686649704,-0.04033382441005262,7.858889954292013,7.899223778702066,0.20549729711088646,-1.2713284182767477,0.356540742540767
8140737,6.969122809660963,-0.0653737978610005,6.936435910730463,7.0018097085914635,0.20543309684345,-1.2714006460911067,0.356540742540767
8121578,5.629605660004672,-0.053729571585231284,5.602740874212056,5.656470445797288,0.20559985212349663,-1.2709145733945741,0.356540742540767
8123230,6.092250834361812,-0.06678735595208618,6.058857156385769,6.125644512337855,0.20585963570959015,-1.270240512084385,0.3568232728235384
8150356,5.398757895119175,0.06903352373510874,5.43327465698673,5.364241133251621,0.20588862250387097,1.270150396409077,0.3568232728235384
8090577,6.9231746260625115,-0.031108217460045218,6.9076205173324885,6.938728734792534,0.2058211155470365,-1.2702728347521839,0.3568232728235384
7960730,7.161947303942203,-0.06627687234146418,7.128808867771471,7.195085740112935,0.20598016666241448,-1.2699112066007243,0.3568365168290219
8156393,5.544355766032705,-0.060825854065410745,5.513942839,5.574768693065411,0.20595222167405475,-1.269916384245087,0.3568365168290219
8060539,6.136247720272982,0.023385131208368826,6.147940285877167,6.124555154668798,0.20612255815867045,1.2694685073160328,0.3570104825285381
8123760,5.90942599336125,0.06755915326669903,5.9432055699946,5.875646416727901,0.20622599432163083,1.2697160891994745,0.3570442311621803
7942439,5.721000085129676,0.044610971921497544,5.743305571090424,5.698694599168927,0.20619484075767452,1.2692228879163807,0.3570442311621803
8165696,9.461719750674686,0.13395988682694515,9.528699694088157,9.394739807261212,0.20643712962694696,1.2687725353253407,0.3573370420445281
7965090,5.477807795247378,0.0947587786359465,5.525187184565351,5.430428405929405,0.20669506295631979,1.2683899869551367,0.3577107233990755
8115524,8.061243923638758,-0.05009630565361434,8.03619577081195,8.086292076465565,0.20729513770661206,-1.267001620564041,0.3586762492539549
8035646,6.8982585930920015,0.0618449407605155,6.929181063472259,6.867336122711744,0.20733795525915746,1.266107689776113,0.35867737389351095
8120382,5.865820905137636,0.055570746709388885,5.893606278492331,5.838035531782942,0.20739047274222053,1.2658640283244147,0.3586952747347149
7979671,9.277814137032784,-0.02863741479816362,9.263495429633702,9.292132844431865,0.20743618687306614,-1.2657406924523391,0.3587014038508438
7963750,6.347119478868429,-0.07084182119150828,6.311698568272674,6.382540389464182,0.20775124393369668,-1.2649567144487552,0.35896484779695337
7967322,6.930957887454494,0.09212378479026384,6.977019779849626,6.884895995059362,0.207658044924545,1.2659517562953384,0.35896484779695337
8042917,5.516486503646817,0.052058029704765474,5.5425155184992,5.490457488794434,0.2077069773282719,1.2652390553748976,0.35896484779695337
8034783,5.677986408111268,-0.04439119516171974,5.655790810530408,5.7001820056921275,0.20779954274067697,-1.2653877405412564,0.35896484779695337
8167006,6.504543696653505,0.0633607399369227,6.5362240666219655,6.472863326685043,0.20778206942707095,1.2650874168166255,0.35896484779695337
8036710,10.165550091085414,-0.043437087155362875,10.143831547507734,10.187268634663097,0.20784183304418158,-1.264929122632961,0.35896500139569715
7913824,7.33291453196213,-0.05522395332623464,7.305302555299012,7.360526508625247,0.20797118521633579,-1.2648249199111299,0.3589697446124497
8147483,7.151614815806315,-0.03239765141804529,7.135415990097293,7.167813641515338,0.20790960421667357,-1.2645226425529965,0.3589697446124497
8074748,6.7732042592343795,-0.04835332740301013,6.7490275955328745,6.797380922935885,0.20794016535495993,-1.264450403605223,0.3589697446124497
7973871,9.458486268744448,0.1329637981248606,9.524968167806879,9.392004369682018,0.20804683962378834,1.2642561834621124,0.3590274736944499
8031196,5.594889238768596,-0.09538014701772024,5.5471991652597366,5.642579312277457,0.20810463079714395,-1.2646379924152347,0.3590543589372224
7955768,9.048164170067507,0.10263864947087953,9.099483494802946,8.996844845332067,0.20845097051119071,1.2629932114511573,0.35957287999679266
7973448,6.150675845405226,0.044479797922007513,6.172915744366231,6.128435946444223,0.20856939552076656,1.2634581551816013,0.35957287999679266
8063351,7.1768050790008475,-0.04798334457464648,7.152813406713524,7.200796751288171,0.20857425228123383,-1.2625776580291255,0.35957287999679266
8066641,6.230479942916025,-0.03628759654797431,6.212336144642038,6.248623741190013,0.20855056280927126,-1.262815247649111,0.35957287999679266
8178598,9.965257305072061,0.034805898608478714,9.9826602543763,9.947854355767822,0.20881434265167598,1.262506817225915,0.3599138396342768
8031097,8.330432363984428,-0.056813832111158646,8.302025447928848,8.358839280040007,0.20912249503796063,-1.2610946005803756,0.3603126738805132
8039687,6.251401760759098,-0.05312183321091535,6.224840844153641,6.277962677364556,0.20913045743570344,-1.2611607004899683,0.3603126738805132
7912535,5.334514752750758,0.15836955639912365,5.4136995309503195,5.255329974551196,0.20921743130661788,1.261396544347761,0.36038952423938675
8075857,6.7733421975703685,0.06993297502477436,6.808308685082755,6.738375710057981,0.20944102663693234,1.2602176299159715,0.36057309867384785
8036923,6.202681503264632,0.034915979700267386,6.2201394931147655,6.185223513414498,0.2093781853872286,1.2603864909935099,0.36057309867384785
7911337,9.455310438452814,0.1320643223266984,9.521342599616164,9.389278277289465,0.20949356379569198,1.260219096597389,0.36057309867384785
8167449,10.844892416399421,-0.04484781274509331,10.822468510026875,10.867316322771968,0.20949112507097267,-1.2600826629011697,0.36057309867384785
8034202,6.266987209942965,-0.06752352351249691,6.233225448186716,6.300748971699213,0.2095759485618881,-1.2601603977638551,0.36064192159972086
8063028,6.73342043998203,-0.043692038679851386,6.711574420642105,6.755266459321956,0.20987868012133495,-1.2594438643890722,0.36108981656797634
7942613,6.723711027492965,-0.06708490041284243,6.690168577286544,6.757253477699386,0.21034611143986306,-1.2580294496553532,0.36182083395500003
7976333,6.462191303087815,0.0469353313939882,6.48565896878481,6.438723637390821,0.21044042671564758,1.257415779061785,0.36190988063956697
8036557,9.72710442407838,0.04271841910344243,9.7484636336301,9.705745214526658,0.21089032701449714,1.2562099853451347,0.36261029342739287
8050160,6.164602369597818,0.07124774712391702,6.2002262431597766,6.1289784960358595,0.21105384223525062,1.2556746586006227,0.36281810469948295
8180290,6.895504516455824,-0.05324116855435079,6.868883932178648,6.922125100732999,0.2113958486102418,-1.2547282544805722,0.36298854435508093
8129804,7.583953108271334,-0.0441110965223972,7.561897560010136,7.606008656532533,0.2114215371441414,-1.2546578846298728,0.36298854435508093
8001507,5.538607098257589,0.0648030840608449,5.571008640288011,5.506205556227166,0.21128286664637913,1.255638887544913,0.36298854435508093
8154254,6.036659383025189,-0.0427388251254639,6.015289970462456,6.05802879558792,0.21125027969701038,-1.255306963415301,0.36298854435508093
8174005,5.670516711550899,-0.043841216785179604,5.648596103158309,5.692437319943489,0.21145170906177121,-1.254688711036261,0.36298854435508093
8180291,6.895901575966049,-0.05324991537421475,6.869276618278942,6.922526533653157,0.211400468353158,-1.2547154964209797,0.36298854435508093
8050079,6.268678784119874,-0.044165895315768644,6.2465958364619905,6.290761731777759,0.21131424471792293,-1.2549686196813647,0.36298854435508093
8019731,6.355864103287093,0.0832077535134399,6.397467980043813,6.314260226530373,0.21158076707153012,1.2546423699694331,0.36303287024998254
8014391,6.355210402237914,0.08318589603790905,6.396803350256868,6.313617454218959,0.21160556909233638,1.2545738107571842,0.36303287024998254
8014414,6.355538986668822,0.08319713903245418,6.39713755618505,6.313940417152596,0.21159198242497165,1.254611338084013,0.36303287024998254
7996174,7.523569077865439,-0.05811175550561831,7.49451320011263,7.552624955618248,0.2116997090945917,-1.2540281040737693,0.36308946832922645
7901447,6.572647537928891,0.042192131951102496,6.593743603904442,6.551551471953339,0.21173738818240287,1.2541289141939125,0.36308946832922645
7974920,7.018649102884851,-0.06492443008271742,6.986186887843492,7.0511113179262095,0.2117666179615909,-1.2537523927305976,0.36308946832922645
7915910,8.62874396767517,0.15743596256523773,8.70746194895779,8.550025986392551,0.21183761230694856,1.2535911525802408,0.36313799481719156
7947531,6.0466385045995645,0.06138977834248216,6.077333393770806,6.0159436154283235,0.21226439647753662,1.2523409644766814,0.3637496620035389
8132962,5.656361373293979,0.058714074842689534,5.685718410715324,5.627004335872634,0.2122799579338781,1.2522993146297983,0.3637496620035389
8006999,5.854022813029454,0.052565209899746,5.8803054179793275,5.8277402080795815,0.21233454491859982,1.2522867713778674,0.36376991723617524
8179268,9.990303460582435,-0.039695290391334126,9.970455815386769,10.010151105778103,0.21258287177661042,-1.2516794601613999,0.36412201114213616
8118149,9.982164063202095,-0.03950979411010991,9.96240916614704,10.00191896025715,0.21280190601072843,-1.2510761568836533,0.364423799582697
8000222,8.692061620216542,-0.05725687309979577,8.663433183666644,8.72069005676644,0.21294439808865326,-1.2506977679874443,0.36453142077608974
7993999,8.690635783334432,-0.057193848421601245,8.662038859123632,8.719232707545233,0.21295046200756995,-1.2506806436670046,0.36453142077608974
7903369,6.3022705059393385,-0.0361097008485336,6.284215655515071,6.320325356363605,0.2130265610698869,-1.2502478366904781,0.3645883155856052
8015712,6.127561357286899,0.059594613500089544,6.157358664036943,6.0977640505368536,0.213082420657518,1.2502620530479958,0.3646105552429789
7953715,7.435366131523871,-0.043391816440380815,7.41367022330368,7.457062039744061,0.21314503887882832,-1.2499721628484723,0.36464434849221916
8177988,9.98624203721582,-0.03955071546778122,9.966466679481929,10.00601739494971,0.21324693950129345,-1.2498541343159943,0.3647453181978689
8014248,5.670538094907775,0.06836548076793836,5.704720835291744,5.636355354523806,0.21336808324352494,1.2494214425933172,0.3648791548189431
8054870,5.256645627049224,0.10667093912601189,5.30998109661223,5.203310157486218,0.21346825854167165,1.2494123962386448,0.36497708686541885
7977507,9.975168501154947,0.11259653731533703,10.031466769812615,9.918870232497278,0.21370008100231072,1.2484055723985985,0.3653000178869885
8038515,7.041015524177182,-0.03853354638010309,7.021748750987131,7.060282297367234,0.21387242963269026,-1.247943399897218,0.36552117469472845
8153903,10.142202650122238,-0.04106155598347172,10.121671872130502,10.162733428113974,0.21398988274444172,-1.2475981752625744,0.3656484416681843
8081386,6.630401205236954,-0.04201238913155336,6.609395010671177,6.65140739980273,0.21412232092543831,-1.247610867664561,0.3657278035726463
7899604,5.660776667605383,0.05753476432871185,5.689544049769739,5.632009285441027,0.2141056348399173,1.247334523415278,0.3657278035726463
8115074,5.33013684728286,0.09705780657591667,5.378665750570819,5.281607943994902,0.2142888956157098,1.2474511300275248,0.36586538460602724
7972737,5.926118027960385,-0.05447665158428361,5.8988797021682435,5.953356353752527,0.21427100856391473,-1.2468355619293066,0.36586538460602724
8128429,6.468715890472094,0.07285744221905333,6.5051446115816205,6.432287169362567,0.21444455682855737,1.2463549285912037,0.3660576761757393
7996012,7.1399398486607115,-0.047656243199790005,7.116111727060817,7.163767970260607,0.21457533441911425,-1.2460992803234348,0.36620742266632944
8113103,5.786304049992033,0.10430151606114269,5.838454808022605,5.734153291961462,0.2147177037716938,1.2463826123289619,0.3663768883213696
8115490,7.510835023798159,-0.06320130520554557,7.479234371195386,7.542435676400932,0.2149170432341599,-1.2453935123647444,0.36656995583512414
7969776,6.597470618577038,0.02917707416400983,6.6120591556590425,6.582882081495033,0.21489996980772874,1.2452868059201205,0.36656995583512414
8079746,6.606011722535664,0.03862984361845978,6.625326644344893,6.5866968007264335,0.2150442703992722,1.2447581265675174,0.3667134250232978
8043504,7.548073058778744,-0.07823128393598733,7.50895741681075,7.587188700746737,0.2152569778029298,-1.245022869292469,0.3668608758151276
8173615,5.651390445355315,-0.04854256060087003,5.62711916505488,5.6756617256557504,0.2152601259338469,-1.2450362108243167,0.3668608758151276
8019486,8.824667593138098,-0.07434403028286596,8.787495577996665,8.861839608279531,0.2152177447259538,-1.2444645175476063,0.3668608758151276
8088092,6.080942619617937,-0.042356416310829204,6.059764411462522,6.102120827773351,0.21538171144262377,-1.2438435939996266,0.366994558800272
8016429,5.831207194261606,-0.07655133011136961,5.792931529205921,5.869482859317291,0.21547990147305382,-1.2439963005682948,0.3670883320508303
8100603,6.380846818234216,-0.06033894764234127,6.350677344413046,6.411016292055387,0.21581666863929289,-1.242615757116038,0.3675148315206857
7922414,5.0361751001799995,0.10174035609092247,5.08704527822546,4.985304922134538,0.2158135469372638,1.2426377243677533,0.3675148315206857
8023228,6.814903945214795,-0.03625663321112693,6.796775628609232,6.8330322618203585,0.21615176386117935,-1.2417102839125866,0.36773126426475367
7991110,5.733669398496176,0.044215843438562885,5.755777320215458,5.711561476776895,0.21614343321301707,1.2418236624372148,0.36773126426475367
8154725,6.484542773405854,-0.08405373420807916,6.442515906301814,6.526569640509893,0.21604184420507802,-1.242468618564657,0.36773126426475367
8039805,5.761587284245454,0.0518843142562222,5.787529441373565,5.735645127117343,0.21615992491462124,1.2416816994197348,0.36773126426475367
8050813,6.0201662374377864,-0.02500508318698902,6.007663695844292,6.032668779031281,0.21612446006225325,-1.242758258060404,0.36773126426475367
8031152,10.55163242824674,0.03969966916055334,10.571482262827018,10.531782593666465,0.21655635064512185,1.2407021548928476,0.36818475286576186
8169412,5.390853502911551,0.07350150638561814,5.4276042561043605,5.354102749718742,0.21652898577652577,1.2407092524758907,0.36818475286576186
8129963,6.004347272242018,-0.05855331499924166,5.975070614742398,6.03362392974164,0.21647541618195945,-1.2420724310605835,0.36818475286576186
8150862,5.432063371662153,-0.10695034548274673,5.378588198920779,5.485538544403526,0.21665033528233865,-1.240405503646453,0.3682709336354062
7971296,5.640511917787379,0.11146755806434605,5.696245696819552,5.584778138755206,0.21688378265816025,1.2397455956613361,0.3685940969611011
7958749,6.753807811127033,-0.04456967269071832,6.731522974781674,6.776092647472392,0.21704140657537183,-1.2394654539049181,0.3687777756526525
8118147,6.505223359099527,-0.038589347055413725,6.48592868557182,6.524518032627234,0.21707857073745956,-1.2394198628085604,0.3687777756526525
8163402,8.949687605979463,-0.0376122060270756,8.930881502965924,8.968493708993,0.21727409104071627,-1.2386784681336482,0.3690362257173188
8109283,6.193511777658715,-0.08440380374608125,6.151309875785675,6.235713679531756,0.2174595547655261,-1.2385784904620396,0.3691301083287896
7997427,6.942779180605784,-0.06633212371317043,6.909613118749199,6.97594524246237,0.2174429914091505,-1.2382128557063143,0.3691301083287896
8130952,7.56196161321363,0.05110448171197568,7.587513854069618,7.536409372357642,0.2174324553841806,1.2383323879526653,0.3691301083287896
8019912,6.044511044343946,0.049019470539100496,6.0690207796134965,6.020001309074396,0.21779068127398274,1.2373299206732404,0.36961842276865464
8180034,5.647307734771585,-0.04779676330777338,5.623409353117699,5.671206116425473,0.21789859308775616,-1.2371874895378459,0.3697277942957219
8064676,5.760190506538285,0.05248788849158448,5.786434450784077,5.733946562292492,0.217989421931735,1.2368633310500137,0.3698081417932465
8086344,7.466031356151303,0.07981301269472763,7.505937862498667,7.426124849803939,0.21813186503150644,1.2364357461776707,0.3699022416184198
7951614,5.986782988879151,0.03451314960553287,6.004039563681917,5.969526414076384,0.2181159918547217,1.236385570456101,0.3699022416184198
