sample_id,7961102,7958000,8151592,8095694,8156706,8063478,8128683,8131067,8138789,8180346,7958262,7930398,8092552,8173135,7989849,8018097,8038877,8058221,7917148,8007462,8141795,7974461,8062312,8089928,7953901,7951077,7958253,8161373,8161554,7935180,8180379,8021081,7944418,8180377,8043413,7968254,8071044,8019802,7970999,8071051,8078962,7979694,8007921,7976515,8141829,8020508,8177120,7953977,7961390,8005687,y
GSM2600155,4.824050256018405,8.175396232625767,6.4725192253374235,5.541719796993865,7.887070886981595,8.251894059674846,7.6845254551042945,6.984583066907976,7.791969897042945,9.859254601957057,8.236102273552147,6.699734074674846,5.499667379613497,9.89825403129448,6.790887989723926,8.007446930361963,8.504230923429448,7.256212698963189,6.724804262846625,6.159180806171779,7.98427624980368,6.125734311196319,6.837472421478527,10.155901359656442,5.956650749871166,7.883278135588958,5.983931484239264,6.28275211111043,6.283106262398774,6.1280548556073615,5.2933929482147235,6.874880547871165,6.39202440490184,5.152008888503067,5.130178546828221,7.468384687711656,6.041449917177914,8.165909899478528,6.480024264165644,6.190769336404908,7.077888385042945,7.660223504957056,5.78268641393865,7.618554114263803,7.425795421631903,8.430967926018406,5.8021587565214725,5.468125501276074,6.801990409404907,6.466771141521473,0
GSM2600156,4.5750655902638035,8.02017609903681,6.633512559257668,5.948282710674846,8.251894059674846,8.43900156690184,7.534759871165644,7.121183196386504,8.03362682309816,10.122430597920244,8.473196303527606,7.019184540564416,5.600124683319018,10.20292048519632,6.775873683392637,7.832126092214724,8.650818741325153,7.224673146760735,6.3516492725766875,6.574350642276073,8.337384156723926,6.3316900411227,7.167380031337423,10.341540822392638,5.984531006668711,7.698550545631902,6.226333508030675,5.407400173128835,5.408050300644171,7.005285846361963,5.769191074184048,7.242609344987731,6.533524594570552,5.584807033595093,5.278276772496933,7.324340439288343,6.193450479061349,8.13389292614724,6.254578854429448,6.371203792349693,7.057253467809815,7.672512938503068,5.978899331417178,7.801956338883436,7.629535308981595,8.655752907110429,6.015721702730062,5.486392719276073,6.80007108503681,6.437906070190184,0
GSM2600157,4.987119499312883,7.972398692766872,6.355375991779141,5.954371782092025,7.491425683687116,7.811426010067484,7.493003234294479,5.970012666429448,7.431594650153373,10.091175993766871,8.406027724760735,6.353491293644171,5.646506002147239,9.382018915012267,6.722531543779141,7.6363877718036814,8.86858398109816,7.27921535314724,6.350384486079754,6.074251533693252,8.110209473404907,6.0841410415030674,6.3396400157668715,10.146802057079752,6.934362288092025,7.832126092214724,6.549102815914111,6.524515668404908,6.524826960773006,5.891827496582822,4.929177281631902,6.317516643736196,6.4539062303435575,4.833324611012269,5.295232585871166,7.43689048398773,5.916438356656442,8.482789223214724,6.600537124214723,6.046821330104295,6.723348426325153,6.976187911883435,5.700340190613497,7.490247341576688,7.310679355478528,8.19579133213497,5.623219376601227,4.7345681645030675,6.042241987484663,6.54227406908589,0
GSM2600158,4.782705124159508,7.726697975190183,6.855838632184049,5.597613965214724,8.254923230411043,8.429922393631902,7.570081944257668,7.156843296748467,7.921872048723926,9.978767048650306,8.363724792582822,6.958401792846626,5.665565920233129,10.031630693766871,6.840894614423313,7.920378236521472,8.418036857417178,7.456927106595093,6.472189736809816,6.256958189245399,8.231107740417178,6.325004419361964,6.907948253650306,9.855554730570551,5.865141581760736,7.746129385736197,5.936974533067485,6.319891450398773,6.320208578595093,6.341590381134969,5.198568889760736,7.1039877074294475,6.483920702312883,5.106542738760736,5.159597906503068,7.500304195165644,5.912865561558282,8.499117130245398,6.344436791141105,6.052498757042945,7.33883409195092,7.686421775269938,5.784051294110429,7.600488962944786,7.464450642472393,8.595050223441717,5.547498905030675,5.287550550515338,6.735008411969324,6.828385735226995,0
GSM2600159,5.045884214576687,8.103223574570553,7.143110880282209,5.690038943736196,7.793303904877301,8.170679299760737,7.9355259078957054,6.840133436730062,7.835793970153374,10.30025422638037,8.270565976128834,6.745504171196319,5.080279510288344,9.954616155104295,7.103110044141104,7.878680179257669,7.808592507521472,7.452769875711657,7.043577413331287,6.712436168693252,8.452107928141105,6.573322942269939,6.239894390392639,10.227233447668713,6.308553690380369,7.652552244460122,6.195864531165644,6.132529809104295,6.132865864282208,6.036049746276073,5.270262420404908,7.303597185042944,6.125469063085889,5.246158113380368,5.206353120423313,7.872530916245399,6.295931465073619,9.374159663607362,6.172387452141105,6.4562086776380365,7.308286917478528,7.582655860656442,5.989059522840491,7.616782930607362,7.556544656404908,8.199757510858896,6.036655883631902,6.0417157658711655,6.477416198190185,6.77960295506135,0
GSM2600160,4.584603188822086,7.852127268312884,6.204073491423313,5.215074555631902,7.36793394995092,7.764292699558282,7.393156367619633,6.4787586254662575,7.538236474092026,10.12713957097546,8.161100378337425,6.5618733410858905,5.428387405447853,9.488971384263804,7.136949469263803,7.766954557705521,8.556366297239263,7.154147412079754,7.007777266932515,6.588062139361964,8.19579133213497,6.252611120312883,6.472831293024539,10.20292048519632,5.966418871171779,7.699195204368098,6.291843139595093,5.434425591687116,5.435032508018405,5.786462694306748,5.4296432258282215,6.533524594570552,6.102657611717792,5.2933929482147235,4.868016376809816,7.385795277754601,6.756609334208589,8.43900156690184,6.204397535693252,6.8718698318957046,6.956379028687117,7.336270183521472,5.6318125873006135,7.648319932190184,7.291014125202454,8.132785611325154,5.8939638360122695,5.953012107006135,6.441742945834355,6.963618293343558,0
GSM2600161,4.958845285668711,8.025910342693251,6.497450620901841,6.100086942558282,8.18663219473006,8.436677997177915,7.435874904239263,6.845749732846627,8.19307882714724,10.132074555325154,8.409240861938649,6.883221662975459,5.8320121852883435,10.236856786319018,7.019634161239264,8.07662654817178,8.215639405552146,7.572896092104295,6.822416473067484,6.609941449122699,8.30838253984049,6.264800256067485,7.508478305036809,9.914676622226994,5.977084796871166,7.9355259078957054,6.236547186116564,6.499995052552148,6.500374030319018,6.417740324797546,5.234756848490798,7.002478140484662,6.4539062303435575,5.11331840808589,5.323362579404908,7.375980899846626,6.32409146784049,8.80712716801227,6.3152186763312885,6.522425343846625,7.165604962067484,7.79854151901227,5.899545196429448,7.757763218239265,7.544427067791411,8.384993802742331,5.722441394417178,5.623639120515338,6.440366161993865,6.377111890717791,0
GSM2600162,4.950679416938651,8.030115618595092,6.671551019337423,5.836732882429447,8.80420415103681,9.003254759687117,7.731212439404908,7.761340455460123,8.367835174558282,10.487289611411043,8.359302334601226,7.096186664546012,6.669076129429448,10.639839122883435,7.169691327865031,8.376556022527607,8.03362682309816,7.8592455290061345,6.90230567303681,6.264482988429448,8.079035394809816,6.712044589447852,8.122149285202454,9.999052222797546,5.77201301398773,8.493220014055215,6.295339969644171,7.364572866650306,7.365033959226994,6.9943277098773,5.285429981521473,7.327252078748466,6.415535824484663,5.0396468059509205,5.493997474263804,7.586668624251534,6.43475637501227,8.661408389417177,6.407692103374234,6.609941449122699,7.212646924478528,7.932447669662577,6.194944963957055,8.213708224036811,7.366938314417178,8.968755704533743,6.39771937284049,5.396724239220859,7.062323127018405,6.23624384906135,0
GSM2600163,5.048278256889571,8.340571029165645,7.685800184380368,6.32674397085276,8.786092201687117,8.958803596521472,8.063556503257669,8.412646391723927,8.213708224036811,10.840780154969323,7.98427624980368,7.213105341570552,5.874820671361963,10.639839122883435,7.041367803981595,8.522675043423313,7.896223884331287,7.524720797110429,6.939832248570552,5.902634313269938,7.970866083018405,7.346224748699386,7.774042765699387,9.978767048650306,5.683418552276074,8.018466047478528,6.946210178006135,6.324376606018404,6.324678789748466,7.005285846361963,5.793254426760736,8.071450950466257,6.360872680079755,5.6694737345766875,5.185627504490797,7.990819850092024,5.9927971846748465,9.16517007407362,5.852674681331289,6.201741406331288,7.558767722245399,7.9754679471533745,6.989053585993866,8.449855299190185,7.333878311907975,8.556366297239263,5.9426366947423315,5.67455836508589,7.1184948454601225,6.818930800674846,0
