feature_set,model,cv_acc_mean,cv_acc_std,cv_prec_mean,cv_prec_std,cv_rec_mean,cv_rec_std,cv_f1_mean,cv_f1_std,avg_selected_features
leakfree_top20,logreg,0.9136363636363637,0.049877173516715334,0.9244926040591676,0.05301108089659166,0.923391812865497,0.043621184091161454,0.9233976833976835,0.04339850780348876,20.0
leakfree_top20,rf,0.9202651515151515,0.049251164725451824,0.909264828738513,0.05641020990761853,0.9567251461988304,0.03972305894208584,0.9316470316470318,0.041602006467142336,20.0
leakfree_top50,logreg,0.9876893939393939,0.015080325179844223,0.9894736842105264,0.02105263157894739,0.9888888888888889,0.022222222222222233,0.9888803088803089,0.013627538791324023,50.0
leakfree_top50,rf,0.96875,0.04841229182759271,0.9636363636363636,0.07272727272727271,0.9888888888888889,0.022222222222222233,0.9742857142857144,0.03875617133214438,50.0
