Gene Symbol
IGKV6-21
RPS4Y1
DDX3Y
UTY
TXLNGY
RNU1-13P
RNA5SP187
KIR2DS2
CXCL8
MEGF8
PMAIP1
RNY4P18
PRKXP1
CCDC167
IFIT5
RNVU1-2
RNU4ATAC16P
SNORA8
KLRF1
SET
LIPN
VNN1
RNA5SP403
RN7SL672P
COPS2
PSMC6
POLR2K
SNORD6
KIAA1586
SNORD81
HAUS6
PMS2P3
SCARNA13
LOC101929469
HIST1H2AE
ZNF644
PSMA6
EVI2A
MIR15A
LOC101927628
RN7SL368P
CCDC144A
IFI44L
RCN2
IPO7
ZNF701
RNU6-54P
TPST1
SNORD33
RNA5SP39
MT-TT
ZNF260
RNU6-226P
CNTNAP3B
CCDC144CP
GMFB
CYP2R1
OTUD6B
IQCB1
RNF139
TWF1
UBE2W
GP9
SKP2
PTGS2
GPR128
SMAD2
C3orf38
LMO2
PYROXD1
IL11RA
ZNF791
HIST1H4B
RNF185-AS1
FAM46A
PNPLA8
TATDN1
IFI44
RNU1-89P
CLEC4A
SNORA76A
CHMP5
SNORD50B
SNORA59B
RAB11FIP2
EMR4P
LAMTOR3
HERC6
ZDHHC3
SAMD9
KIAA0125
RN7SL748P
ZNF484
ZNF518A
COMMD4
SNORD57
TMEM205
FLJ45832
SNORA70
YIF1B
SMC4
C1GALT1
LARP4
TMED9
TMX3
CLEC4E
RNF219
CYP1B1
RGS18
CRLS1
PDK4
RN7SL629P
PRDX4
RNU6-189P
SNORA57
DPY30
MRPL42
ARPP19
GTPBP10
RHEB
RNA5SP352
CXorf21
TAF11
MYNN
CAPZA2
COMMD2
SFT2D1
BMS1P5
CD274
ABHD13
TMEM161B
CCNC
WDR36
SLC30A9
RBM3
RPAIN
PIGY
KYNU
NXPE3
TPT1-AS1
TAF13
TCEANC2
LINC00686
RSAD1
CLEC4D
RHOB
ODF3B
ZNF836
NAT8B
REXO1L1P
CEP57
TROVE2
RAB32
ZFAND2A
MIOS
RNVU1-18
APOL6
TAPT1-AS1
CLEC12A
GPR174
RWDD4
TOMM22
PPIL3
ASNSD1
CENPK
BYSL
ERGIC2
KLHL9
SRSF6
CSRP2
RNFT1
LOC101928638
PDE4B
FAM26F
CYSLTR1
HIST1H2BC
MFSD8
LGALS2
FLJ35934
NDUFA4
CCDC88A
CES1
TBK1
SNORD14C
C19orf60
LEFTY1
GPR141
CWC22
COG6
RNU6-442P
TMEM261
MRPL47
UQCRQ
HIST2H2BF
DDX60
PSMA4
ZNF626
DPH3
CD69
PRKY
