gene_id,log2FoldChange,padj,gene_symbol,gene_name
7961102,0.7708075873103875,1.382062005469659e-12,,
8151592,0.9489728238990107,1.7125790458245365e-12,,
8095694,0.8466717963865884,6.290575340484352e-12,,
8156706,0.7138389473791449,1.3454342989175194e-11,,
8063478,0.5259425642888118,1.8024539812610262e-10,,
8131067,0.7733233380869731,3.2494397796406497e-10,,
8092552,0.6993071780256503,1.089202152005328e-09,,
8173135,0.6606851502338227,1.09684040416877e-09,,
8038877,-0.506818862767572,4.568324916139801e-09,,
8062312,0.7012582728000192,1.0717128142468816e-08,,
7953901,0.9756263835761763,1.8866295413379206e-08,,
8161373,-0.7720125410213292,2.2608071438461396e-08,,
8161554,-0.7608126063421192,2.2608071438461396e-08,,
8021081,0.7003110313238885,4.875994984089841e-08,,
8071044,-0.6435043007287193,6.944308822401426e-08,,
8071051,-0.6083796235063552,8.928478873375331e-08,,
8007921,0.5973572218638257,1.3242991723897663e-07,,
7953977,0.7252841022185024,2.1019450098416625e-07,,
8162719,0.5474495317704573,2.691741904831182e-07,,
8138545,0.626252723757144,8.292122777603917e-07,,
