gene,correlation,p_value,abs_corr
7961102,0.6130544660513787,3.369720725678368e-18,0.6130544660513787
7958000,0.5716584778146819,1.5897590800121131e-15,0.5716584778146819
8156706,0.5626094615171217,5.457780116160855e-15,0.5626094615171217
8151592,0.5602068349799227,7.525363545468724e-15,0.5602068349799227
8095694,0.5459225190212016,4.822023771253492e-14,0.5459225190212016
8173135,0.5367888916279673,1.5112881183777152e-13,0.5367888916279673
8131067,0.5312203240153754,2.982384819694605e-13,0.5312203240153754
8180346,0.5279164202905228,4.437942085671147e-13,0.5279164202905228
8063478,0.5243359687474227,6.794351877040136e-13,0.5243359687474227
7953901,0.5216655746953275,9.304555090618315e-13,0.5216655746953275
8138789,0.5131466561686786,2.49128288482748e-12,0.5131466561686786
8128683,0.5106415517526615,3.3109914359183416e-12,0.5106415517526615
8092552,0.4986491621658556,1.251998303588662e-11,0.4986491621658556
7930398,0.49662425991973,1.5593351166705186e-11,0.49662425991973
7953977,0.49538240446167914,1.7827865771494804e-11,0.49538240446167914
8038877,-0.48786413441629384,3.965096390351123e-11,0.48786413441629384
8062312,0.4838414987742261,6.033374045793448e-11,0.4838414987742261
8161554,-0.4737885727817994,1.6824241256495966e-10,0.4737885727817994
8161373,-0.47294655995209695,1.8305739612565678e-10,0.47294655995209695
7951077,0.470565511037068,2.3211008517256593e-10,0.470565511037068
