Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043372)	1/7	1.149459e-02	6.492889e-02	0	0	1.039635e+02	4.642886e+02	HLA-DRB1
GO_Biological_Process_2023	T Cell Apoptotic Process (GO:0070231)	1/7	1.149459e-02	6.492889e-02	0	0	1.039635e+02	4.642886e+02	CLC
GO_Biological_Process_2023	Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)	1/7	1.149459e-02	6.492889e-02	0	0	1.039635e+02	4.642886e+02	HLA-DRB1
GO_Biological_Process_2023	Negative Regulation Of cAMP-dependent Protein Kinase Activity (GO:2000480)	1/7	1.149459e-02	6.492889e-02	0	0	1.039635e+02	4.642886e+02	PRKAR2B
GO_Biological_Process_2023	Antimicrobial Humoral Response (GO:0019730)	2/100	1.181460e-02	6.498028e-02	0	0	1.308032e+01	5.805593e+01	PPBP;PF4V1
GO_Biological_Process_2023	Positive Regulation Of Memory T Cell Differentiation (GO:0043382)	1/8	1.312618e-02	6.719844e-02	0	0	8.910714e+01	3.861143e+02	HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of T Cell Activation (GO:0050870)	2/107	1.343879e-02	6.719844e-02	0	0	1.220399e+01	5.259445e+01	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of Monocyte Differentiation (GO:0045657)	1/9	1.475517e-02	6.719844e-02	0	0	7.796484e+01	3.287124e+02	HLA-DRB1
GO_Biological_Process_2023	T-helper 1 Type Immune Response (GO:0042088)	1/9	1.475517e-02	6.719844e-02	0	0	7.796484e+01	3.287124e+02	HLA-DRB1
GO_Biological_Process_2023	[2Fe-2S] Cluster Assembly (GO:0044571)	1/9	1.475517e-02	6.719844e-02	0	0	7.796484e+01	3.287124e+02	GLRX5
GO_Biological_Process_2023	Regulation Of Memory T Cell Differentiation (GO:0043380)	1/9	1.475517e-02	6.719844e-02	0	0	7.796484e+01	3.287124e+02	HLA-DRB1
GO_Biological_Process_2023	Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	2/117	1.591734e-02	6.719844e-02	0	0	1.113717e+01	4.611172e+01	PPBP;PF4V1
GO_Biological_Process_2023	CRD-mediated mRNA Stabilization (GO:0070934)	1/10	1.638155e-02	6.719844e-02	0	0	6.929861e+01	2.849281e+02	IGF2BP2
GO_Biological_Process_2023	Oxygen Transport (GO:0015671)	1/10	1.638155e-02	6.719844e-02	0	0	6.929861e+01	2.849281e+02	HBZ
GO_Biological_Process_2023	L-serine Metabolic Process (GO:0006563)	1/10	1.638155e-02	6.719844e-02	0	0	6.929861e+01	2.849281e+02	PSPH
GO_Biological_Process_2023	Ammonium Transmembrane Transport (GO:0072488)	1/10	1.638155e-02	6.719844e-02	0	0	6.929861e+01	2.849281e+02	RHD
GO_Biological_Process_2023	Serine Family Amino Acid Biosynthetic Process (GO:0009070)	1/10	1.638155e-02	6.719844e-02	0	0	6.929861e+01	2.849281e+02	PSPH
GO_Biological_Process_2023	Cellular Response To Lipopolysaccharide (GO:0071222)	2/124	1.776010e-02	6.719844e-02	0	0	1.049445e+01	4.230103e+01	PPBP;PF4V1
GO_Biological_Process_2023	Carbon Dioxide Transport (GO:0015670)	1/11	1.800532e-02	6.719844e-02	0	0	6.236563e+01	2.505282e+02	HBZ
GO_Biological_Process_2023	Erythrocyte Development (GO:0048821)	1/11	1.800532e-02	6.719844e-02	0	0	6.236563e+01	2.505282e+02	ALAS2
GO_Biological_Process_2023	Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043370)	1/11	1.800532e-02	6.719844e-02	0	0	6.236563e+01	2.505282e+02	HLA-DRB1
GO_Biological_Process_2023	Regulation Of T Cell Mediated Immunity (GO:0002709)	1/11	1.800532e-02	6.719844e-02	0	0	6.236563e+01	2.505282e+02	CLC
GO_Biological_Process_2023	Regulation Of Muscle System Process (GO:0090257)	1/11	1.800532e-02	6.719844e-02	0	0	6.236563e+01	2.505282e+02	MYL9
GO_Biological_Process_2023	Positive Regulation By Symbiont Of Entry Into Host (GO:0075294)	1/12	1.962650e-02	6.831110e-02	0	0	5.669318e+01	2.228538e+02	HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000516)	1/12	1.962650e-02	6.831110e-02	0	0	5.669318e+01	2.228538e+02	HLA-DRB1
GO_Biological_Process_2023	Detection Of Bacterium (GO:0016045)	1/12	1.962650e-02	6.831110e-02	0	0	5.669318e+01	2.228538e+02	HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of Viral Entry Into Host Cell (GO:0046598)	1/12	1.962650e-02	6.831110e-02	0	0	5.669318e+01	2.228538e+02	HLA-DRB1
GO_Biological_Process_2023	Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	2/134	2.054181e-02	6.831110e-02	0	0	9.694526e+00	3.766607e+01	IGKC;HLA-DRB1
GO_Biological_Process_2023	Non-Membrane-Bounded Organelle Assembly (GO:0140694)	2/135	2.082943e-02	6.831110e-02	0	0	9.621150e+00	3.724721e+01	TMOD1;MYL9
GO_Biological_Process_2023	Positive Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0035774)	1/13	2.124508e-02	6.831110e-02	0	0	5.196615e+01	2.001544e+02	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Immune Effector Process (GO:0002697)	1/13	2.124508e-02	6.831110e-02	0	0	5.196615e+01	2.001544e+02	HLA-DRB1
GO_Biological_Process_2023	Regulation Of cAMP-dependent Protein Kinase Activity (GO:2000479)	1/13	2.124508e-02	6.831110e-02	0	0	5.196615e+01	2.001544e+02	PRKAR2B
GO_Biological_Process_2023	Protein Maturation By Iron-Sulfur Cluster Transfer (GO:0097428)	1/14	2.286107e-02	7.131289e-02	0	0	4.796635e+01	1.812322e+02	GLRX5
GO_Biological_Process_2023	Serine Family Amino Acid Metabolic Process (GO:0009069)	1/14	2.286107e-02	7.131289e-02	0	0	4.796635e+01	1.812322e+02	PSPH
GO_Biological_Process_2023	Gas Transport (GO:0015669)	1/15	2.447447e-02	7.413282e-02	0	0	4.453795e+01	1.652413e+02	HBZ
GO_Biological_Process_2023	Regulation Of Monocyte Differentiation (GO:0045655)	1/15	2.447447e-02	7.413282e-02	0	0	4.453795e+01	1.652413e+02	HLA-DRB1
GO_Biological_Process_2023	Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862)	1/16	2.608529e-02	7.678628e-02	0	0	4.156667e+01	1.515680e+02	HLA-DRB1
